Id,Cancelled,IsPond,PathwayCode,MaxCapacity,CreatedBy,EndDate,StartDate,CreatedDate,LastModifedDate,ProgrammeID,PathwayTypeID,RegionID
1,1,0,Business Intelligence,12,Kendra Johnson,2022-01-13,2018-06-13,2017-02-07 11:25:04,2015-09-13 05:14:42,1,1,2
2,0,0,Cloud Computing Engineering,24,Jane Flynn,2021-11-22,2019-05-07,2017-02-03 22:34:02,2021-05-12 14:30:04,1,4,3
3,0,1,Data Engineering,12,Christopher Stephens,2022-12-18,2019-09-21,2016-07-03 07:02:53,2020-12-07 17:51:56,1,1,3
4,0,0,Robotic Process Automation,29,Michael Jackson,2021-10-07,2018-12-10,2016-11-28 08:46:12,2022-02-12 17:48:02,1,8,2
5,0,1,Salesforce Developer,22,James Williams,2021-06-18,2018-07-29,2017-03-04 23:54:09,2023-05-27 13:41:20,1,7,2
6,1,1,Software Testing,26,Melissa Solis,2022-02-01,2019-10-09,2017-01-29 17:18:17,2016-08-16 14:00:10,1,7,2
7,1,1,Software Development,16,Jessica Guzman,2022-01-13,2021-04-20,2015-08-28 16:58:43,2018-07-18 05:34:17,2,3,1
8,0,0,Technical Analysis,33,Raymond Andrews,2023-02-10,2020-05-02,2017-05-27 16:26:02,2017-03-16 20:53:59,2,8,3
9,0,1,Technical Operations,35,James Williams,2023-05-08,2019-10-14,2015-07-07 13:29:37,2018-05-02 02:22:56,2,8,1
10,1,0,Project Management,14,Jessica Guzman,2023-04-27,2019-10-29,2016-04-29 13:20:15,2021-04-20 14:35:16,1,3,2
11,0,1,Risk Regulation and Compliance,19,Jeffrey Ritter,2021-06-17,2021-04-04,2015-09-04 10:55:21,2016-12-19 15:38:51,2,4,3
12,1,1,AWS Cloud Engineering,27,Ashley Oconnor,2022-03-16,2019-07-09,2017-04-15 14:06:44,2019-02-19 14:44:28,2,7,1
13,0,0,Data & Business Analysis,23,Melanie Carr,2022-10-15,2019-01-24,2015-11-28 18:41:39,2021-05-20 22:07:17,1,2,2
